erin@debian:~/Main/Julia$ julia may27-calling.jl 
helo the file opened
After sweep 10 energy=-4.499999999999998  maxlinkdim=2 maxerr=2.47E-32 time=0.006
After sweep 11 energy=-4.499999999999999  maxlinkdim=2 maxerr=1.54E-32 time=0.005
After sweep 12 energy=-4.499999999999999  maxlinkdim=2 maxerr=2.47E-32 time=0.006
After sweep 13 energy=-4.499999999999998  maxlinkdim=2 maxerr=1.54E-33 time=0.006
After sweep 14 energy=-4.499999999999998  maxlinkdim=2 maxerr=6.16E-33 time=0.019
After sweep 15 energy=-4.499999999999998  maxlinkdim=2 maxerr=2.47E-32 time=0.006
After sweep 16 energy=-4.4999999999999964  maxlinkdim=2 maxerr=1.54E-33 time=0.006
After sweep 17 energy=-4.5  maxlinkdim=2 maxerr=1.54E-33 time=0.006
After sweep 18 energy=-4.5  maxlinkdim=2 maxerr=0.00E+00 time=0.006
After sweep 19 energy=-4.499999999999998  maxlinkdim=2 maxerr=1.54E-33 time=0.006
After sweep 20 energy=-4.499999999999998  maxlinkdim=2 maxerr=6.16E-33 time=0.005
Energy: -4.500000
Difference: 0.000000
After sweep 1 energy=-5.249999981144093  maxlinkdim=13 maxerr=9.55E-13 time=0.016
After sweep 2 energy=-5.249999999999998  maxlinkdim=2 maxerr=8.92E-13 time=0.020
After sweep 3 energy=-5.249999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.008
After sweep 4 energy=-5.249999999999999  maxlinkdim=2 maxerr=1.39E-32 time=0.007
After sweep 5 energy=-5.249999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.007
After sweep 6 energy=-5.250000000000003  maxlinkdim=2 maxerr=7.70E-33 time=0.007
After sweep 7 energy=-5.2499999999999964  maxlinkdim=2 maxerr=1.54E-32 time=0.008
After sweep 8 energy=-5.249999999999999  maxlinkdim=2 maxerr=1.54E-32 time=0.007
After sweep 9 energy=-5.249999999999997  maxlinkdim=2 maxerr=1.23E-32 time=0.007
After sweep 10 energy=-5.249999999999999  maxlinkdim=2 maxerr=1.54E-32 time=0.006
After sweep 11 energy=-5.249999999999999  maxlinkdim=2 maxerr=2.00E-32 time=0.007
After sweep 12 energy=-5.249999999999998  maxlinkdim=2 maxerr=1.54E-32 time=0.008
After sweep 13 energy=-5.249999999999997  maxlinkdim=2 maxerr=1.54E-32 time=0.017
After sweep 14 energy=-5.249999999999999  maxlinkdim=2 maxerr=1.54E-32 time=0.007
After sweep 15 energy=-5.249999999999997  maxlinkdim=2 maxerr=1.54E-32 time=0.008
After sweep 16 energy=-5.249999999999999  maxlinkdim=2 maxerr=1.54E-32 time=0.006
After sweep 17 energy=-5.249999999999999  maxlinkdim=2 maxerr=1.54E-32 time=0.007
After sweep 18 energy=-5.249999999999998  maxlinkdim=2 maxerr=1.54E-32 time=0.007
After sweep 19 energy=-5.249999999999995  maxlinkdim=2 maxerr=1.54E-32 time=0.007
After sweep 20 energy=-5.249999999999997  maxlinkdim=2 maxerr=1.54E-32 time=0.008
Energy: -5.250000
Difference: 0.000000
After sweep 1 energy=-5.999999842146298  maxlinkdim=18 maxerr=9.74E-13 time=0.032
After sweep 2 energy=-6.000000000000001  maxlinkdim=2 maxerr=8.76E-13 time=0.011
After sweep 3 energy=-5.999999999999996  maxlinkdim=2 maxerr=1.23E-32 time=0.008
After sweep 4 energy=-5.999999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.008
After sweep 5 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 6 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.007
After sweep 7 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 8 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 9 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.018
After sweep 10 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.009
After sweep 11 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 12 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 13 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 14 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 15 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 16 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 17 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 18 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 19 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.013
After sweep 20 energy=-5.999999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
Energy: -6.000000
Difference: 0.000000
After sweep 1 energy=-6.749999758386583  maxlinkdim=18 maxerr=9.97E-13 time=0.024
After sweep 2 energy=-6.7500000000000036  maxlinkdim=2 maxerr=8.95E-13 time=0.015
After sweep 3 energy=-6.749999999999995  maxlinkdim=2 maxerr=9.50E-32 time=0.022
After sweep 4 energy=-6.7499999999999964  maxlinkdim=2 maxerr=1.23E-32 time=0.009
After sweep 5 energy=-6.750000000000006  maxlinkdim=2 maxerr=1.39E-32 time=0.009
After sweep 6 energy=-6.75  maxlinkdim=2 maxerr=6.16E-33 time=0.009
After sweep 7 energy=-6.750000000000001  maxlinkdim=2 maxerr=1.23E-32 time=0.010
After sweep 8 energy=-6.75  maxlinkdim=2 maxerr=1.23E-32 time=0.009
After sweep 9 energy=-6.749999999999999  maxlinkdim=2 maxerr=1.39E-32 time=0.008
After sweep 10 energy=-6.749999999999996  maxlinkdim=2 maxerr=2.47E-32 time=0.010
After sweep 11 energy=-6.749999999999999  maxlinkdim=2 maxerr=6.16E-33 time=0.019
After sweep 12 energy=-6.749999999999998  maxlinkdim=2 maxerr=1.39E-32 time=0.010
After sweep 13 energy=-6.749999999999999  maxlinkdim=2 maxerr=1.39E-32 time=0.009
After sweep 14 energy=-6.749999999999999  maxlinkdim=2 maxerr=7.70E-33 time=0.008
After sweep 15 energy=-6.749999999999998  maxlinkdim=2 maxerr=2.47E-32 time=0.009
